Index,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Pages,Num Pages,Issue,Volume,Notes,Manual Tags
204,conferencePaper,2013,"Fazekas, G.; Barthet, M.; Sandler, M. B.",Mood Conductor: Emotion-Driven Interactive Music Performance,2013 Humaine Association Conference on Affective Computing and Intelligent Interaction,,,10.1109/ACII.2013.165,,726–726,,,,A3,behavioural sciences computing; coloured blobs; computational modeling; Conductors; directed improvisations; Educational institutions; emotional intentions; emotion driven interactive music performance; emotion recognition; interactive systems; mood; mood conductor; music; musical performance; real-time systems; visible gestures; visual feedback system; visualization; Web based smartphone
205,conferencePaper,2011,"Bauer, Jared S.; Jansen, Alex; Cirimele, Jesse","MoodMusic: A Method for Cooperative, Generative Music Playlist Creation",Proceedings of the 24th Annual ACM Symposium Adjunct on User Interface Software and Technology,978-1-4503-1014-7,,10.1145/2046396.2046435,http://doi.acm.org/10.1145/2046396.2046435,85–86,,,,A3,affective computing; audio interfaces; Collaborative filtering; conversation analysis; mood detection; music
206,conferencePaper,2015,"Barthet, Mathieu; Fazekas, György; Allik, Alo; Sandler, Mark",Moodplay: An Interactive Mood-based Musical Experience,Proceedings of the Audio Mostly 2015 on Interaction With Sound,978-1-4503-3896-7,,10.1145/2814895.2814922,http://doi.acm.org/10.1145/2814895.2814922,3:1–3:8,,,,A3,affective computing; artificial intelligence; audio synthesis; semantic web
207,conferencePaper,2016,"Andjelkovic, Ivana; Parra, Denis; O'Donovan, John",Moodplay: Interactive Mood-based Music Discovery and Recommendation,Proceedings of the 2016 Conference on User Modeling Adaptation and Personalization,978-1-4503-4368-8,,10.1145/2930238.2930280,http://doi.acm.org/10.1145/2930238.2930280,275–279,,,,A3,algorithms; design; experimentation; human factors; recommender systems
208,conferencePaper,2007,"Voong, Michael; Beale, Russell",Music Organisation Using Colour Synaesthesia,CHI '07 Extended Abstracts on Human Factors in Computing Systems,978-1-59593-642-4,,10.1145/1240866.1240913,http://doi.acm.org/10.1145/1240866.1240913,1869–1874,,,,A3,colour; interaction; music; Playlists; SOM; visualisation
209,conferencePaper,2011,"Hodge, A.; Collins, K.; Lam, K.; Taillon, P. J.",Musical mood-based mobile gaming,2011 IEEE International Games Innovation Conference (IGIC),,,10.1109/IGIC.2011.6115133,,5–7,,,,A3,Apple iPod; behavioural sciences computing; CLAM C++ library; computer games; Databases; games; Libraries; mobile computing; mobile video games; mood; mood based audio extraction methods; music; musical mood based mobile gaming; player selected music; Portable media players; Prototypes
210,journalArticle,2010,"Nanopoulos, A.; Rafailidis, D.; Symeonidis, P.; Manolopoulos, Y.",MusicBox: Personalized Music Recommendation Based on Cubic Analysis of Social Tags,"IEEE Transactions on Audio, Speech, and Language Processing",,1558-7916,10.1109/TASL.2009.2033973,,407–412,,2,18,A3,audio features; Audio similarity; higher order singular value decomposition; Higher Order Singular Value Decomposition (HOSVD); identification technology; information retrieval; multifaced information source; music; MusicBox; music information retrieval; Music Recommendation; personalized music recommendation; recommender systems; singular value decomposition; social tags; social tags cubic analysis; tag propagation scheme; tensors; three order tensors
211,conferencePaper,2007,"Cai, Rui; Zhang, Chao; Wang, Chong; Zhang, Lei; Ma, Wei-Ying",MusicSense: Contextual Music Recommendation Using Emotional Allocation Modeling,Proceedings of the 15th ACM International Conference on Multimedia,978-1-59593-702-5,,10.1145/1291233.1291369,http://doi.acm.org/10.1145/1291233.1291369,553–556,,,,A3,contextual music recommendation; emotional allocation modeling; moods; MusicSense
212,journalArticle,1998,"Fels, S.; Nishimoto, K.; Mase, K.",MusiKalscope: a graphical musical instrument,IEEE MultiMedia,,1070-986X,10.1109/93.713302,,26–35,,3,5,A3,art; Automatic control; Brushes; Communication system control; computer-assisted jazz improvisation; computer graphics; Control systems; functional map; graphical expression; Graphical Musical Instrument Interface; graphical user interfaces; image creation; image mood matching; instruments; kaleidoscopic imagery; lamascope; mood; multimedia computing; multimedia system; multimedia systems; music; musical expression; music creation; MusiKalscope; Painting; performers; RhyMe; virtual drum playing
213,conferencePaper,1997,"Fels, S.; Nishimoto, K.; Mase, K.",MusiKalscope: a graphical musical instrument,Proceedings of IEEE International Conference on Multimedia Computing and Systems,,,10.1109/MMCS.1997.609561,,55–62,,,,A3,actuators; application program interfaces; art; Brushes; computer-assisted jazz improvisation; computer-based kaleidoscope; computer graphics; Control systems; electronic music; functional actuator maps; graphical expression; Graphical Musical Instrument Interface; Iamascope; imagery control; instruments; mood; multimedia communication; multimedia computing; multimedia system; multimedia systems; music; musical expression; musical instruments; MusiKalscope; Paints; real-time systems; real-time visual expression; RhyMe; virtual drum set
214,conferencePaper,2014,"Shin, S.; Jang, D.; Lee, J. J.; Jang, S. J.; Kim, J. H.",MyMusicShuffler: Mood-based music recommendation with the practical usage of brainwave signals,2014 IEEE International Conference on Consumer Electronics (ICCE),,,10.1109/ICCE.2014.6776039,,355–356,,,,A3,automatic music service; brain-computer interfaces; brain machine interfaces; brain models; brainwave signal analysis; brainwave signal usage; EEG based mood classifier; electroencephalography; emotion recognition; medical signal processing; mood; mood-based music recommendation; mood-based music recommendation service; Multiple signal classification; multitasking environments; music; music selection; MyMusicShuffler; real-time systems; recommender systems; signal classification; unnecessary hand interaction elimination; user emotional responses
215,conferencePaper,2015,"Yu, Yang; Lin, Weisi; Huang, Dong-Yan; Dong, Minghui; Li, Haizhou",Performance scoring of singing voice,2015 International Conference on Asian Language Processing (IALP),,,10.1109/IALP.2015.7451546,,119–122,,,,A3,acoustic emotion features; acoustic feature; acoustic signal processing; Cepstrum; emotion recognition; human emotions; human moods; music; musical acoustics; musical instrument; musical instruments; musician opinion; musician opinions; performance scoring; Phase change materials; Predictive model; Predictive models; singing voice; singing voice performance analysis; singing voice performance scoring; singing voice ranking; speech processing
216,conferencePaper,2001,"Field, Adam; Hartel, Pieter; Mooij, Wim","Personal DJ, an Architecture for Personalised Content Delivery",Proceedings of the 10th International Conference on World Wide Web,978-1-58113-348-6,,10.1145/371920.371921,http://doi.acm.org/10.1145/371920.371921,1–7,,,,A3,moods; personalisation; radio; user evaluation
217,conferencePaper,2015,"Ferwerda, Bruce; Yang, Emily; Schedl, Markus; Tkalcic, Marko",Personality Traits Predict Music Taxonomy Preferences,Proceedings of the 33rd Annual ACM Conference Extended Abstracts on Human Factors in Computing Systems,978-1-4503-3146-3,,10.1145/2702613.2732754,http://doi.acm.org/10.1145/2702613.2732754,2241–2246,,,,A3,music; personality; recommender systems; taxonomy
218,conferencePaper,2011,"Jung, R.; Spassova, L.; Kahl, G.",Product-Awareness through Smart Audio Navigation in a Retail Environment,2011 Seventh International Conference on Intelligent Environments,,,10.1109/IE.2011.23,,186–191,,,,A3,ambient noise; arousal noise; Audio Cues; Databases; electronic shopping list; emotional expression; instrumental music track; instruments; internet; location aware service; mobile computing; mood; music; navigation; Noise; nonspeech audio cues; personalized music; product-awareness; retail data processing; retail environment; rhythm; smart audio navigation; user-centric notification zone; Web interface
219,conferencePaper,2008,"Mortensen, Magnus; Gurrin, Cathal; Johansen, Dag",Real-world Mood-based Music Recommendation,Proceedings of the 4th Asia Information Retrieval Conference on Information Retrieval Technology,978-3-540-68633-0,,,http://dl.acm.org/citation.cfm?id=1786374.1786446,514–519,,,,A3,Collaborative filtering; content filtering; mood; Music Recommendation; recommendation
220,journalArticle,2015,"Hu, Xiping; Deng, Junqi; Zhao, Jidi; Hu, Wenyan; Ngai, Edith C.-H.; Wang, Renfei; Shen, Johnny; Liang, Min; Li, Xitong; Leung, Victor C. M.; Kwok, Yu-Kwong",SAfeDJ: A Crowd-Cloud Codesign Approach to Situation-Aware Music Delivery for Drivers,ACM Trans. Multimedia Comput. Commun. Appl.,,1551-6857,10.1145/2808201,http://doi.acm.org/10.1145/2808201,21:1–21:24,,1s,12,A3,cloud; context; crowdsensing; driving; music mood; smartphones
221,conferencePaper,2015,"Patchava, V.; Jain, P.; Lomte, R. R.; G, Shakthi Priya; Kandala, H. B.",Sentiment based music play system,2015 International Conference on Smart Sensors and Systems (IC-SSS),,,10.1109/SMARTSENS.2015.7873601,,1–5,,,,A3,Bayes methods; Lifting equipment; machine learning; microphones; mood; music system; Raspberry Pi; sentiment analysis; tempo; training; Universal Serial Bus
222,conferencePaper,2011,"Lee, Seungjae; Kim, Jung Hyun; Kim, Sung Min; Yoo, Won Young",Smoodi: Mood-based music recommendation player,2011 IEEE International Conference on Multimedia and Expo,,,10.1109/ICME.2011.6012116,,1–4,,,,A3,arousal valence position values; cover flow; Indexes; Medical services; mood; mood based music recommendation player; mood cloud; Mood model; mood probabilities; mood square; music; Music Recommendation; recommender systems; regression; regression analysis; regression function; smart mood recommendation; SMOODI; tag cloud
223,conferencePaper,2007,"Röcker, Carsten; Etter, Richard",Social Radio: A Music-based Approach to Emotional Awareness Mediation,Proceedings of the 12th International Conference on Intelligent User Interfaces,978-1-59593-481-9,,10.1145/1216295.1216348,http://doi.acm.org/10.1145/1216295.1216348,286–289,,,,A3,aesthetics artifacts; emotional awareness; intimate group communication; multi-user communication; music; smart artifacts; tangible user interfaces
224,conferencePaper,2010,"Zheleva, Elena; Guiver, John; Mendes Rodrigues, Eduarda; Milić-Frayling, Nataša",Statistical Models of Music-listening Sessions in Social Media,Proceedings of the 19th International Conference on World Wide Web,978-1-60558-799-8,,10.1145/1772690.1772794,http://doi.acm.org/10.1145/1772690.1772794,1019–1028,,,,A3,Collaborative filtering; graphical models; mood; music; recommendations; sessions; social media; taste
225,conferencePaper,2016,"Speicher, Marco; Gröber, Lea; Haluska, Julian; Hegemann, Lena; Hoffmann, Isabelle; Gehring, Sven; Krüger, Antonio",The Audience in the Role of the Conductor: An Interactive Concert Experience,Proceedings of the 5th ACM International Symposium on Pervasive Displays,978-1-4503-4366-4,,10.1145/2914920.2940335,http://doi.acm.org/10.1145/2914920.2940335,235–236,,,,A3,interactive concert; mobile interaction; public display
226,conferencePaper,2006,"Eladhari, Mirjam; Nieuwdorp, Rik; Fridenfalk, Mikael",The Soundtrack of Your Mind: Mind Music - Adaptive Audio for Game Characters,Proceedings of the 2006 ACM SIGCHI International Conference on Advances in Computer Entertainment Technology,978-1-59593-380-5,,10.1145/1178823.1178887,http://doi.acm.org/10.1145/1178823.1178887,,,,,A3,adaptive audio; believable agents; game; game design; music; role playing games
227,conferencePaper,2009,"David, Darren; Granas, Lee; Konig, Jules; Moody, Nathan; Santangelo, Joshua",TouchTones: Multi-user Collaborative Music Composer,Proceedings of the ACM International Conference on Interactive Tabletops and Surfaces,978-1-60558-733-2,,10.1145/1731903.1731953,http://doi.acm.org/10.1145/1731903.1731953,12:1–12:1,,,,A3,
228,conferencePaper,2015,"Krishnan, Arun Sai; Hu, Xiping; Deng, Jun-qi; Zhou, Li; Ngai, Edith C.-H.; Li, Xitong; Leung, Victor C.M.; Kwok, Yu-kwong",Towards In Time Music Mood-Mapping for Drivers: A Novel Approach,Proceedings of the 5th ACM Symposium on Development and Analysis of Intelligent Vehicular Networks and Applications,978-1-4503-3760-1,,10.1145/2815347.2815352,http://doi.acm.org/10.1145/2815347.2815352,59–66,,,,A3,cloud; context-aware; crowd-sensing; mood-mapping; music matching; Music Recommendation; offloading; vehicular sensor application
229,conferencePaper,2014,"Morreale, Fabio; Miniukovich, Aliaksei; De Angeli, Antonella",Twitterradio: Translating Tweets into Music,CHI '14 Extended Abstracts on Human Factors in Computing Systems,978-1-4503-2474-8,,10.1145/2559206.2574790,http://doi.acm.org/10.1145/2559206.2574790,567–570,,,,A3,artistic installation; musical interface; user-experience
230,conferencePaper,2013,"Jarvis, Matthew D.; Harris, Toby; Tokarchuk, Laurissa",Ubicomp'13 Sencity Workshop: Sensing Festivals As Cities,Proceedings of the 2013 ACM Conference on Pervasive and Ubiquitous Computing Adjunct Publication,978-1-4503-2215-7,,10.1145/2494091.2499216,http://doi.acm.org/10.1145/2494091.2499216,1331–1334,,,,A3,crowd-sensing; festivals; geo-visualisation; mobile phone sensing
231,conferencePaper,2014,"Kato, Y.; Kurabayashi, S.",A Cross-Media Music Retrieval System by Converting Color Changes into Tonal Changes,2014 IEEE 15th International Conference on Mobile Data Management,,,10.1109/MDM.2014.51,,349–352,,,1,A4,color changes; continuous tonal changes; cross-media music retrieval system; delta functions; distance values; Engines; heterogeneous image; Image color analysis; image retrieval; image sequence; image sequences; measurement; media; Media Retrieval; mobile computing; mood; mood analysis; Multimedia Database; music; music criteria; time-oriented invisible impression; user interface; user interfaces; visual impressions; visualization; visual query construction method; Web-based music resources
232,conferencePaper,2013,"Husain, A.; Shiratuddin, M. F.; Wong, K. W.",A proposed framework for visualising music mood using texture image,2013 International Conference on Research and Innovation in Information Systems (ICRIIS),,,10.1109/ICRIIS.2013.6716720,,263–268,,,,A4,album cover; Avatar; avatars; colour; data visualisation; digital music; Image color analysis; image retrieval; image texture; Libraries; mir; mood; mood picture; music; music information retrieval; music mood visualization; online music applications; personal music libraries; Shape; texture; texture image; visual elements; visualisation; visualization
233,conferencePaper,2013,"Sasaki, S.; Hirai, T.; Ohya, H.; Morishima, S.",Affective Music Recommendation System Reflecting the Mood of Input Image,2013 International Conference on Culture and Computing,,,10.1109/CultureComputing.2013.42,,153–154,,,,A4,affective music recommendation system; arousal; Databases; deep impression; emotional plane; Equations; Image color analysis; image processing; images and sounds; mood; music; Music Recommendation; recommender systems; valence; valence-arousal plane
234,conferencePaper,2013,"Sasaki, Shoto; Hirai, Tatsunori; Ohya, Hayato; Morishima, Shigeo",Affective Music Recommendation System Using Input Images,ACM SIGGRAPH 2013 Posters,978-1-4503-2342-0,,10.1145/2503385.2503484,http://doi.acm.org/10.1145/2503385.2503484,90:1–90:1,,,,A4,
235,conferencePaper,2014,"Pesek, M.; Godec, P.; Poredoš, M.; Strle, G.; Guna, J.; Stojmenova, E.; Pogačnik, M.; Marolt, M.",Capturing the mood: Evaluation of the moodstripe and moodgraph interfaces,2014 IEEE International Conference on Multimedia and Expo Workshops (ICMEW),,,10.1109/ICMEW.2014.6890678,,1–5,,,,A4,behavioural sciences computing; color; color perception; colour; Emotional response; Image color analysis; Indexes; mood; mood estimation; moodgraph interfaces; moodstripe; music; music information retrieval; questionnaire evaluation; Standards; time complexity; user interfaces; Wheels
236,conferencePaper,2012,"Aiba, E.; Tobitani, K.; Shimotomai, T.; Tani, M.; Nagata, N.; Fujisawa, T. X.",Chord character evaluation model based on harmoniousness: Application to music mood visualization interface,"The 6th International Conference on Soft Computing and Intelligent Systems, and The 13th International Symposium on Advanced Intelligence Systems",,,10.1109/SCIS-ISIS.2012.6505187,,131–135,,,,A4,chord brightness impression estimation; data visualisation; dissonance; graphical user interfaces; harmoniousness-based chord character evaluation model; image colour analysis; image retrieval; melody; modality; music; musical mood representation; music mood visualization interface; psychological effects; psychological index; psychology; rhythm; tension
237,conferencePaper,2008,"Dunker, Peter; Nowak, Stefanie; Begau, André; Lanz, Cornelia",Content-based Mood Classification for Photos and Music: A Generic Multi-modal Classification Framework and Evaluation Approach,Proceedings of the 1st ACM International Conference on Multimedia Information Retrieval,978-1-60558-312-9,,10.1145/1460096.1460114,http://doi.acm.org/10.1145/1460096.1460114,97–104,,,,A4,evaluation; image content analysis; multi-modal mood classification; music information retrieval
238,conferencePaper,2008,"Sangenya, Tomomi; Fujisawa, T. X.; Nagata, N.",Creation of a sound-image scale - Quantification of the images of chord progressions with impression evaluation used -,"2008 IEEE International Conference on Systems, Man and Cybernetics",,,10.1109/ICSMC.2008.4811568,,1905–1909,,,,A4,acoustic signal processing; chord progression; Estimation; factor loadings; factor point; Frequency; image; image processing; impression-based distance; impression evaluation; Informatics; Information processing; Layout; MDS; MDS method; mood; Multidimensional systems; music; musical acoustics; SD; sound; sound-image scale
239,journalArticle,2016,"Lehtiniemi, Arto; Ojala, Jarno; Toukomaa, Henri",Design and Evaluation of Mood Pictures in Social Music Discovery Service,Personal Ubiquitous Comput.,,1617-4909,10.1007/s00779-016-0900-5,http://dx.doi.org/10.1007/s00779-016-0900-5,97–119,,1,20,A4,design; Musical mood; Music Recommendation; Playlists; social interaction; user experience
240,conferencePaper,2013,"Lehtiniemi, A.; Ojala, J.",Evaluating MoodPic - a Concept for Collaborative Mood Music Playlist Creation,2013 17th International Conference on Information Visualisation,,,10.1109/IV.2013.10,,86–95,,,,A4,associations; collaborative mood music playlist creation; data mining; design; MoodPic; mood picture; music; Musical mood; musical play lists; Music Recommendation; music recommendations; playlist; Playlists; social aspects of automation; social interaction; social music discovery; user experience
241,journalArticle,2006,"Hanjalic, A.",Extracting moods from pictures and sounds: towards truly personalized TV,IEEE Signal Processing Magazine,,1053-5888,10.1109/MSP.2006.1621452,,90–100,,2,23,A4,Algorithm design and analysis; audio signal processing; audiovisual signal content; cognitive content information; content-based retrieval; content recommendation functionalities; data mining; feature extraction; genre contents; image retrieval; image sequence; Information analysis; Layout; mood; mood extraction; Motion pictures; music; personalized TV; Signal analysis; Signal processing algorithms; spatiotemporal content elements; temporal content structures; TV broadcasting; video content analysis; video retrieval; video signal processing
242,conferencePaper,2004,"Hiraga, R.; Matsuda, N.",Graphical expression of the mood of music,2004 IEEE International Conference on Multimedia and Expo (ICME) (IEEE Cat. No.04TH8763),,,10.1109/ICME.2004.1394664,,2035–2038 Vol.3,,,3,A4,articulation; audio signal processing; Content based retrieval; Databases; data visualisation; data visualization; dynamic changes; feedback; graphical expression; image processing; Labeling; Manipulator dynamics; mood; Multiple signal classification; music; musical expression elements; musical structure; music information retrieval; music mood; music representation; rhythm; tempo; verbal labeling
243,conferencePaper,2016,"Lee, Y.; Fathia, R. N.",Interactive music visualization for music player using processing,2016 22nd International Conference on Virtual System Multimedia (VSMM),,,10.1109/VSMM.2016.7863205,,1–4,,,,A4,color; data visualization; Image color analysis; music; Music Visualization; Processing; Rain; representation; Shape; Sound Features; visualization
244,conferencePaper,2003,"Feng, Yazhong; Zhuang, Yueting; Pan, Yunhe",Music information retrieval by detecting mood via computational media aesthetics,Proceedings IEEE/WIC International Conference on Web Intelligence (WI 2003),,,10.1109/WI.2003.1241199,,235–241,,,,A4,3D visualization; articulation; audio databases; average silence ratio; BP neural network classifier; computational articulation model; computational media aesthetics; computational modeling; Computer networks; Computer science; Educational institutions; emotion recognition; feature space; information retrieval; internet; mood; mood detection; multiple agent approach; Multiple signal classification; music; music dimensions; music information retrieval; neural nets; neural networks; recommender systems; relative tempo; standard deviation; statistical analysis
245,journalArticle,2012,"Maekaku, T.; Kasai, H.",Music relationship visualization based on melody piece transition using conditional divergence,IEEE Transactions on Consumer Electronics,,0098-3063,10.1109/TCE.2012.6311349,,1006–1012,,3,58,A4,2D map; browsing system; conditional divergence; data reduction; data visualisation; data visualization; dimension reduction method; Hermitian form model; Markov chain; Markov processes; matrix decomposition; melodies Markov model; melody piece transition; multimedia communication; music; Music browsing system; music mapping method; music relationship visualization; principal component analysis; Vectors; visualization
246,conferencePaper,2012,"Maekaku, T.; Kasai, H.",Music relationship visualization based on melody transition using Conditional Divergence for music browsing system,2012 IEEE International Conference on Consumer Electronics (ICCE),,,10.1109/ICCE.2012.6161729,,43–44,,,,A4,2D map; computational modeling; conditional divergence; Data models; data visualisation; Markov processes; matrix decomposition; melodies Markov model; melody transition; mood; mood distance visualization; multidimensional scaling methods; music; Music browsing system; music mapping method; music relationship visualization; Vectors
247,conferencePaper,2002,"Hiraga, Rumi; Mizaki, Reiko; Fujishiro, Issei",Performance Visualization: A New Challenge to Music Through Visualization,Proceedings of the Tenth ACM International Conference on Multimedia,978-1-58113-620-3,,10.1145/641007.641054,http://doi.acm.org/10.1145/641007.641054,239–242,,,,A4,performance; visualization
248,journalArticle,1926,"Wagner, V.",Scoring a Motion Picture,Transactions of the Society of Motion Picture Engineers,,0096-6460,10.5594/J10283,,40–43,,25,10,A4,
249,conferencePaper,2009,"Dunker, P.; Dittmar, C.; Begau, A.; Nowak, S.; Gruhne, M.",Semantic High-Level Features for Automated Cross-Modal Slideshow Generation,2009 Seventh International Workshop on Content-Based Multimedia Indexing,,,10.1109/CBMI.2009.32,,144–149,,,,A4,audio feature; audio signal processing; automated cross-modal slideshow generation; feature extraction; image and music retrieval; image classification; indexing; Layout; machine learning; machine learning algorithms; Mesh generation; mood; music; photo collection; play soft music; semantic feature extraction; semantic indexing; slideshow generation; Spatial databases; Testing; visual databases
250,conferencePaper,2004,"Johnson, Nigel",Soundscapes,"Proceedings of the 5th Conference on Designing Interactive Systems: Processes, Practices, Methods, and Techniques",978-1-58113-787-3,,10.1145/1013115.1013168,http://doi.acm.org/10.1145/1013115.1013168,318–318,,,,A4,experimental; generative sound; Interactive Art; real-time composition
251,conferencePaper,2016,"Lee, Taemin; Lim, Hyunki; Kim, Dae-Won; Hwang, Sunkyu; Yoon, Kyunghyun",System for Matching Paintings with Music Based on Emotions,SIGGRAPH ASIA 2016 Technical Briefs,978-1-4503-4541-5,,10.1145/3005358.3005366,http://doi.acm.org/10.1145/3005358.3005366,31:1–31:4,,,,A4,acoustic feature extraction; color emotional model; music emotion recognition; synchronizing music and paintings
252,conferencePaper,2012,"Lehtiniemi, A.; Holm, J.",Using Animated Mood Pictures in Music Recommendation,2012 16th International Conference on Information Visualisation,,,10.1109/IV.2012.34,,143–150,,,,A4,animated mood pictures; computer animation; context; design; Educational institutions; emotion; Interviews; mood; music; musical genre; music collections; music player applications; Music Recommendation; music recommendation system; music selection; picture; playlist; Prototypes; recommender systems; Software; SuperMusic; user experience; user interface
253,conferencePaper,2013,"Wang, Borui; Chen, Jingshu",Visimu: A Game for Music Color Label Collection,Proceedings of the Adjunct Publication of the 26th Annual ACM Symposium on User Interface Software and Technology,978-1-4503-2406-9,,10.1145/2508468.2514726,http://doi.acm.org/10.1145/2508468.2514726,93–94,,,,A4,color perception; game with a purpose; music information retrieval; Music Visualization
254,conferencePaper,2014,"You, Y.; Tang, T.; Wang, Y.",When Arduino Meets Kinect: An Intelligent Ambient Home Entertainment Environment,2014 Sixth International Conference on Intelligent Human-Machine Systems and Cybernetics,,,10.1109/IHMSC.2014.139,,150–153,,,2,A4,Ambient Environment; ambient light control; Arduino; Arduino Uno; body recognition; C#; C++ language; emotion recognition; entertainment; external LED spotlight; face; face recognition; facial expression detection; gesture-based system; gesture recognition; Hardware; home computing; Image motion analysis; image sensors; immersive ambient entertainment environment; intelligent ambient home entertainment environment; Kinect; lamps; LEDs; Light emitting diodes; Microsoft Kinect; mood; mood detection module; music; Relays; relay shield; servo-motor; single user movement detection; USB port; user mood recognition; Windows sensor
255,conferencePaper,2008,"Chung, Szu-Ming; Ho, Pei-Chi; Huang, Chun-Hsiung",A Case Study for a Multimedia Program,Proceedings of the 1st ACM International Workshop on Semantic Ambient Media Experiences,978-1-60558-314-3,,10.1145/1461912.1461925,http://doi.acm.org/10.1145/1461912.1461925,61–66,,,,A5,color emotion; interactivity; metaphor; multimedia; music emotion
256,conferencePaper,2012,"Eggink, J.; Bland, D.",A Large Scale Experiment for Mood-Based Classification of TV Programmes,2012 IEEE International Conference on Multimedia and Expo,,,10.1109/ICME.2012.68,,140–145,,,,A5,accuracy; assigned mood labels; audio signal processing; automatic classification; Correlation; feature extraction; genre; human generated genre labels; human labelling; humorous programmes; large scale experiment; light-heartedness; machine learning; mood; mood-based classification; mood dimensions; multimedia classification; multiple mood terms; principal component analysis; principal dimensions; signal classification; signal processing; television broadcasting; TV; TV programmes; video signal processing
257,conferencePaper,2012,"Eggink, Jana; Allen, Penelope; Bland, Denise",A Pilot Study for Mood-based Classification of TV Programmes,Proceedings of the 27th Annual ACM Symposium on Applied Computing,978-1-4503-0857-1,,10.1145/2245276.2245455,http://doi.acm.org/10.1145/2245276.2245455,918–922,,,,A5,machine learning; mood classification; multimedia classification
258,conferencePaper,2013,"Moshfeghi, Yashar; Jose, Joemon M.","An Effective Implicit Relevance Feedback Technique Using Affective, Physiological and Behavioural Features",Proceedings of the 36th International ACM SIGIR Conference on Research and Development in Information Retrieval,978-1-4503-2034-4,,10.1145/2484028.2484074,http://doi.acm.org/10.1145/2484028.2484074,133–142,,,,A5,Affective; behavioural; dwell time; implicit relevance feedback; physiological; search intentions
259,journalArticle,2013,"Liao, Zicheng; Joshi, Neel; Hoppe, Hugues",Automated Video Looping with Progressive Dynamism,ACM Trans. Graph.,,0730-0301,10.1145/2461912.2461950,http://doi.acm.org/10.1145/2461912.2461950,77:1–77:10,,4,32,A5,cinemagraphs; progressive video loops; video textures
260,conferencePaper,2004,"Wei, Cheng-Yu; Dimitrova, N.; Chang, Shih-Fu",Color-mood analysis of films based on syntactic and psychological models,2004 IEEE International Conference on Multimedia and Expo (ICME) (IEEE Cat. No.04TH8763),,,10.1109/ICME.2004.1394329,,831–834 Vol.2,,,2,A5,art; color; color-mood analysis; color palette; color representations; dominant color ratio; emotional preferences; entertainment; film entertainment; film theories; Histograms; home PC storage capacity; image colour analysis; Layout; mood; Motion pictures; pattern classification; Peer to peer computing; peer-to-peer networking; psychological models; psychology; subgenre discrimination; Support vector machine classification; Support Vector Machines; syntactic models; video browsing; video clustering; video recommending; video signal processing
261,journalArticle,2016,"Katsimerou, Christina; Albeda, Joris; Huldtgren, Alina; Heynderickx, Ingrid; Redi, Judith A.",Crowdsourcing Empathetic Intelligence: The Case of the Annotation of EMMA Database for Emotion and Mood Recognition,ACM Trans. Intell. Syst. Technol.,,2157-6904,10.1145/2897369,http://doi.acm.org/10.1145/2897369,51:1–51:27,,4,7,A5,affective annotation; Crowdsourcing; emotion recognition; mood recognition; Multimodal database
262,journalArticle,1928,"Struss, K.",Dramatic Cinematography,Transactions of the Society of Motion Picture Engineers,,0096-6460,10.5594/J10224,,317–319,,34,12,A5,
263,journalArticle,2017,"Cao, Y.; Pang, X.; Chan, A. B.; Lau, R. W. H.",Dynamic Manga: Animating Still Manga via Camera Movement,IEEE Transactions on Multimedia,,1520-9210,10.1109/TMM.2016.2609415,,160–172,,1,19,A5,2-D animation; animation; balloons; camera movement; cameras; comic characters; comics; comic trailer generation; computer animation; data-driven graphical model; domain knowledge; dynamic Manga; emotion states; face; film production; graphical models; low-level visual patterns; manga characteristics; manga pages; mobile comic reading; pacing; panel extraction; per-panel motion inference; Production; semantic estimation; semantics; still Manga imagery animation; story mood; Storytelling; story tension; visualization
264,conferencePaper,2012,"Gil, Nuno; Silva, Nuno; Duarte, Eduardo; Martins, Pedro; Langlois, Thibault; Chambel, Teresa",Going Through the Clouds: Search Overviews and Browsing of Movies,Proceeding of the 16th International Academic MindTrek Conference,978-1-4503-1637-8,,10.1145/2393132.2393163,http://doi.acm.org/10.1145/2393132.2393163,158–165,,,,A5,audio; content-based retrieval; emotion; entertainment; mood; movie affective classification; overviews; search exploratory browsing; serendipity; subtitles; summarization; tag clouds; timelines; user experience; video; visualization
265,conferencePaper,2010,"Tasaka, K.; Imai, N.; Isomura, M.; Yoshihara, K.",Implementation and evaluation of a collaborative content play method in a home network,2010 14th International Conference on Intelligence in Next Generation Networks,,,10.1109/ICIN.2010.5640934,,1–6,,,,A5,collaboration; collaborative content play method; collaborative play; digital living network alliance; DLNA; groupware; HNW; home automation; home network; media; mobile computing; Mobile handsets; mood; Servers; timing
266,conferencePaper,2013,"Saluja, A.; Pakdaman, M.; Piao, D.; Parikh, A. P.",Infinite Mixed Membership Matrix Factorization,2013 IEEE 13th International Conference on Data Mining Workshops,,,10.1109/ICDMW.2013.128,,800–807,,,,A5,context; context modeling; contextual bias term; Data models; DBLP dataset; Equations; Gibbs sampling inference procedures; Gold; graphical models; inference mechanisms; infinite mixed membership matrix factorization; item vectors; latent user; learning (artificial intelligence); machine learning techniques; Mathematical model; matrix decomposition; Movie Lens 1M dataset; Napoleon dynamite effect; optimal parametric baseline; probabilistic interpretations; Probabilistic logic; rating systems; recommendation systems; recommender systems; sampling methods; user-item ratings matrix
